gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_040016100	11	40	11	41	97	63	49	54	25	12
LdBPK_040016200	111	274	112	220	465	357	301	417	171	142
LdBPK_040016300	45	88	43	82	173	134	148	174	43	52
LdBPK_040016400	48	120	63	117	213	171	186	240	90	63
LdBPK_040016500	48	214	96	153	273	203	301	325	113	135
LdBPK_040016600	35	47	26	64	84	59	58	83	8	28
LdBPK_040016700	120	408	144	232	346	258	313	404	79	102
LdBPK_040016800	150	472	218	270	870	831	859	974	250	260
LdBPK_040016900	6	10	7	13	22	14	13	9	6	9
LdBPK_040017000	833	2638	1091	1686	2161	1570	2017	2272	810	1033
LdBPK_040017100	291	973	443	552	1149	1197	1296	1436	288	373
LdBPK_040017200	1189	4005	1880	2611	3890	2958	3176	4216	756	1025
LdBPK_040017300	113	329	162	203	498	526	585	643	154	190
LdBPK_040017400	83	262	139	187	344	264	239	246	104	92
LdBPK_040017500	680	2081	909	1283	4595	3617	3858	4198	598	667
LdBPK_040017600	299	1003	534	658	7202	6353	7608	9768	278	293
LdBPK_040017700	540	1943	672	1050	1403	1033	1182	1132	183	270
LdBPK_040017800	177	523	192	316	476	289	358	426	52	73
LdBPK_050005000	122	407	202	260	403	439	521	451	109	146
LdBPK_050005100	17	43	20	31	86	80	48	67	8	19
LdBPK_050005200	290	941	367	771	1118	821	885	1098	264	216
LdBPK_050005300	47	144	47	109	182	89	100	119	28	28
LdBPK_050005400	89	235	81	176	273	131	160	188	66	89
LdBPK_050005500	79	259	111	199	434	303	390	340	120	132
LdBPK_050005600	65	220	119	153	245	208	262	243	65	64
LdBPK_050005700	23	70	23	46	95	78	84	88	57	54
LdBPK_050005800	440	1397	570	887	1615	1591	1817	2032	596	734
LdBPK_050005900	1216	4330	2006	3020	5971	5108	5619	7481	818	1189
LdBPK_050006000	212	670	250	526	740	605	782	810	213	256
LdBPK_050006100	122	369	153	234	510	416	502	558	115	157
LdBPK_050006200	402	1291	625	959	2072	1804	1748	2016	580	632
LdBPK_050006300	305	959	485	714	1333	1220	1383	1465	311	381
LdBPK_050006400	99	397	153	284	480	334	424	436	46	70
LdBPK_050006500	127	405	158	254	485	441	353	446	108	110
